"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Gausman, Kevin",592332,"TOR","FF","4-Seam Fastball",1.3,20,"1628",53.7,"437","0.23","0.38","0.306",16.9,19,17.7,"0.27","0.478","0.352",46.6
"Parker, Mitchell",680730,"WSH","FF","4-Seam Fastball",-0.4,-6,"1501",55.5,"417","0.269","0.447","0.358",10.7,8.9,10.1,"0.319","0.542","0.403",54.2
"Ray, Robbie",592662,"SF","FF","4-Seam Fastball",0.6,9,"1595",52,"415","0.208","0.357","0.3",23.5,26,20.6,"0.218","0.395","0.31",44.6
"Soriano, José",667755,"LAA","SI","Sinker",0.1,2,"1368",49.1,"412","0.29","0.38","0.357",16.1,7.8,13.3,"0.299","0.431","0.365",54.7
"Nelson, Ryne",669194,"AZ","FF","4-Seam Fastball",1.5,23,"1526",61.9,"405","0.207","0.36","0.281",19.1,22.7,17.4,"0.253","0.423","0.321",45.4
"Peralta, Freddy",642547,"MIL","FF","4-Seam Fastball",0.6,9,"1651",53.5,"395","0.209","0.381","0.314",22.8,23.5,17.6,"0.251","0.48","0.361",41.8
"Sánchez, Cristopher",650911,"PHI","SI","Sinker",1.4,19,"1332",46,"375","0.269","0.342","0.313",14.5,14.9,23.1,"0.267","0.416","0.327",50.5
"Valdez, Framber",664285,"HOU","SI","Sinker",1.1,14,"1272",44,"362","0.285","0.39","0.336",12.5,7.2,17.2,"0.32","0.475","0.373",50.5
"Ryan, Joe",657746,"MIN","FF","4-Seam Fastball",1.3,18,"1430",51.2,"361","0.204","0.385","0.283",26.9,30.2,23.3,"0.203","0.416","0.288",44.1
"Gallen, Zac",668678,"AZ","FF","4-Seam Fastball",0.3,5,"1412",45.1,"352","0.244","0.413","0.323",13,17.9,16.3,"0.275","0.514","0.366",52
"Senzatela, Antonio",622608,"COL","FF","4-Seam Fastball",-1.7,-21,"1217",53.3,"350","0.365","0.542","0.441",12.4,8.9,10.6,"0.338","0.535","0.419",48.7
"Pallante, Andre",669467,"STL","FF","4-Seam Fastball",-0.6,-7,"1198",44,"347","0.312","0.514","0.403",14.4,9.2,13,"0.309","0.502","0.38",46.1
"Castillo, Luis",622491,"SEA","FF","4-Seam Fastball",0.9,12,"1386",46.4,"343","0.2","0.406","0.292",26.5,26.5,17.6,"0.205","0.423","0.297",49.3
"Pivetta, Nick",601713,"SD","FF","4-Seam Fastball",1.3,17,"1312",46,"342","0.195","0.349","0.276",24.1,28.7,24.2,"0.234","0.468","0.341",54.9
"Abbott, Andrew",671096,"CIN","FF","4-Seam Fastball",1.2,15,"1263",47.2,"330","0.232","0.365","0.302",19.9,23,18.5,"0.232","0.394","0.311",40.7
"Rodriguez, Eduardo",593958,"AZ","FF","4-Seam Fastball",-0.5,-6,"1209",46.7,"323","0.287","0.483","0.368",22.3,26,23.9,"0.271","0.481","0.357",44.9
"Flaherty, Jack",656427,"DET","FF","4-Seam Fastball",0.2,3,"1327",46.9,"323","0.264","0.444","0.348",17,22.9,19.2,"0.275","0.497","0.364",47.7
"Bassitt, Chris",605135,"TOR","SI","Sinker",0.2,2,"1179",41.7,"322","0.297","0.431","0.371",14.4,14.6,18.7,"0.302","0.466","0.366",44.4
"Boyd, Matthew",571510,"CHC","FF","4-Seam Fastball",0.8,10,"1276",46.5,"319","0.247","0.402","0.299",15.7,16.9,14.8,"0.278","0.479","0.343",45.7
"Sánchez, Cristopher",650911,"PHI","CH","Changeup",1.7,18,"1083",37.4,"318","0.17","0.243","0.207",45.1,40.9,29.8,"0.188","0.241","0.208",25.7
"Holmes, Clay",605280,"NYM","SI","Sinker",0.9,10,"1133",41,"316","0.285","0.388","0.361",16.5,11.1,19.7,"0.288","0.424","0.373",51.5
"deGrom, Jacob",594798,"TEX","FF","4-Seam Fastball",1.7,21,"1203",46,"310","0.189","0.393","0.275",21.5,24.5,20.5,"0.226","0.434","0.309",43.9
"Cease, Dylan",656302,"SD","SL","Slider",0.3,4,"1248",41,"309","0.228","0.374","0.303",42.8,37.5,23,"0.209","0.335","0.272",35.3
"Gore, MacKenzie",669022,"WSH","FF","4-Seam Fastball",0,0,"1388",49.3,"309","0.294","0.483","0.371",20.7,16.5,15.6,"0.296","0.513","0.385",47.8
"Cease, Dylan",656302,"SD","FF","4-Seam Fastball",-0.1,-1,"1252",41.1,"309","0.24","0.42","0.341",25.5,23.3,18.5,"0.224","0.399","0.323",39.2
"Giolito, Lucas",608337,"BOS","FF","4-Seam Fastball",0.4,5,"1145",48.4,"303","0.267","0.389","0.343",16,15.2,16.8,"0.308","0.53","0.395",48.6
"Skenes, Paul",694973,"PIT","FF","4-Seam Fastball",1.9,23,"1196",39.9,"301","0.202","0.329","0.268",28.9,34.6,26.3,"0.203","0.36","0.275",52.3
"Rodón, Carlos",607074,"NYY","FF","4-Seam Fastball",0.5,7,"1344",41.8,"299","0.224","0.429","0.342",21.4,18.7,17.4,"0.241","0.449","0.351",42.5
"Hendricks, Kyle",543294,"LAA","CH","Changeup",0.6,6,"987",38.4,"299","0.223","0.364","0.268",25.3,17.7,14.5,"0.238","0.38","0.282",26.4
"Woo, Bryan",693433,"SEA","FF","4-Seam Fastball",1.7,21,"1283",47.3,"299","0.153","0.332","0.241",28.8,31.8,22.2,"0.187","0.372","0.27",37.4
"Webb, Logan",657277,"SF","SI","Sinker",0.7,8,"1102",33.6,"297","0.295","0.439","0.348",12.8,15.5,21.9,"0.287","0.441","0.34",45.9
"Singer, Brady",663903,"CIN","SI","Sinker",-0.5,-6,"1158",40.6,"297","0.269","0.469","0.37",17,23.9,21.2,"0.267","0.462","0.369",49.4
