"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Palencia, Daniel",694037,"CHC","FF","4-Seam Fastball",0.9,5,"595",70.7,"148","0.216","0.366","0.293",22.9,25.7,21.8,"0.244","0.412","0.313",55.7
"Fried, Max",608331,"NYY","SI","Sinker",0.7,4,"551",17.7,"147","0.254","0.373","0.34",24.8,17.7,23.9,"0.239","0.348","0.293",50
"Koenig, Jared",657649,"MIL","SI","Sinker",1.5,9,"590",56.6,"147","0.206","0.298","0.269",19.3,26.5,21.9,"0.195","0.319","0.264",37.2
"Mikolas, Miles",571945,"STL","SI","Sinker",-1,-4,"408",16.5,"147","0.276","0.455","0.355",10.6,18.4,18.5,"0.281","0.479","0.353",42.6
"Díaz, Edwin",621242,"NYM","SL","Slider",1.7,9,"505",47.3,"147","0.179","0.269","0.244",44,40.1,32.2,"0.161","0.233","0.216",34.7
"Kremer, Dean",665152,"BAL","FC","Cutter",0.1,1,"543",20.2,"147","0.219","0.394","0.296",24.2,19.7,19,"0.227","0.4","0.296",30.6
"Alexander, Jason",669920,"HOU","SI","Sinker",-0.1,-1,"501",40,"146","0.336","0.458","0.413",5.3,3.4,9.1,"0.361","0.505","0.407",51.6
"Mahle, Tyler",641816,"TEX","FF","4-Seam Fastball",0.5,3,"684",49.5,"146","0.211","0.344","0.295",23.5,23.3,14.7,"0.261","0.475","0.359",48.9
"Bibee, Tanner",676440,"CLE","SI","Sinker",-0.4,-2,"465",15.7,"146","0.286","0.414","0.347",10.6,19.2,21.9,"0.216","0.316","0.271",35.2
"Martinez, Nick",607259,"CIN","FF","4-Seam Fastball",-0.9,-5,"535",20.8,"146","0.306","0.522","0.365",11.4,15.1,12.5,"0.304","0.512","0.365",46.6
"Soriano, José",667755,"LAA","CU","Curveball",0.1,1,"741",26.6,"146","0.182","0.333","0.28",43.2,37.7,27,"0.177","0.309","0.25",25.6
"Estévez, Carlos",608032,"KC","FF","4-Seam Fastball",1.2,7,"558",53.5,"146","0.202","0.364","0.289",19.2,24.7,18.9,"0.231","0.461","0.334",44.7
"Cameron, Noah",702070,"KC","FF","4-Seam Fastball",-0.3,-2,"571",26.4,"145","0.233","0.473","0.353",12.6,9,9.8,"0.294","0.559","0.397",44.8
"Chivilli, Angel",683409,"COL","FF","4-Seam Fastball",-3.1,-15,"469",45.9,"145","0.366","0.585","0.459",11,6.2,9.7,"0.355","0.587","0.447",57
"Greene, Hunter",668881,"CIN","SL","Slider",0.7,5,"611",35,"145","0.156","0.37","0.256",46.9,37.2,23.4,"0.186","0.364","0.268",33.3
"Senga, Kodai",673540,"NYM","FF","4-Seam Fastball",-0.9,-5,"599",31.5,"145","0.279","0.543","0.391",19.9,20.7,19.9,"0.273","0.498","0.367",55.6
"Pfaadt, Brandon",694297,"AZ","ST","Sweeper",-1.7,-9,"544",18.6,"145","0.284","0.537","0.37",33.2,28.3,18.6,"0.259","0.468","0.331",35.8
"Rodriguez, Eduardo",593958,"AZ","CH","Changeup",-1.9,-10,"529",20.4,"145","0.306","0.485","0.364",28.7,14.5,16.3,"0.282","0.411","0.323",22.6
"Márquez, Germán",608566,"COL","SI","Sinker",-1.8,-9,"474",22.7,"144","0.368","0.574","0.427",4.7,0,0,"0.348","0.554","0.402",49.3
"Schwellenbach, Spencer",680885,"ATL","FF","4-Seam Fastball",1.8,10,"556",35.3,"144","0.217","0.341","0.261",27.1,23.6,21.4,"0.285","0.469","0.333",56.2
"Parker, Mitchell",680730,"WSH","CU","Curveball",-1.4,-9,"594",22,"144","0.296","0.504","0.365",29,19.4,16.2,"0.32","0.515","0.373",48.1
"Sterner, Justin",686993,"ATH","FF","4-Seam Fastball",1,6,"570",52.2,"144","0.171","0.35","0.292",24.7,21.5,16.6,"0.208","0.434","0.323",42.6
"Lee, Dylan",669276,"ATL","SL","Slider",1.7,10,"612",55.5,"143","0.164","0.358","0.252",41.9,32.2,22.9,"0.185","0.346","0.251",30.3
"Suárez, Ranger",624133,"PHI","CH","Changeup",1.2,6,"464",19.1,"143","0.203","0.268","0.23",33,25.2,18.1,"0.214","0.33","0.249",22.5
"Berríos, José",621244,"TOR","CH","Changeup",0,0,"434",16.8,"142","0.22","0.409","0.304",34.8,28.9,23.8,"0.218","0.409","0.295",31.9
"Williams, Devin",642207,"NYY","CH","Changeup",1.3,7,"584",52.4,"141","0.194","0.341","0.273",37.3,31.2,21.4,"0.217","0.368","0.291",29.9
"Kelly, Merrill",518876,"TEX","FF","4-Seam Fastball",0.4,3,"648",22.9,"141","0.212","0.485","0.316",24.3,24.1,19,"0.238","0.517","0.34",53.1
"Gilbert, Logan",669302,"SEA","FS","Split-Finger",0.8,3,"423",19.6,"141","0.119","0.2","0.172",50.4,63.8,27.6,"0.099","0.158","0.14",26.7
"Giolito, Lucas",608337,"BOS","CH","Changeup",0,0,"534",22.6,"141","0.194","0.411","0.293",26.7,22.7,19.3,"0.228","0.448","0.319",29.6
"Little, Brendon",663893,"TOR","CU","Curveball",1.3,7,"570",46,"141","0.145","0.185","0.211",55.6,53.2,27.2,"0.13","0.197","0.212",48.1
"Peralta, Wandy",593974,"SD","SI","Sinker",0.6,3,"497",43.7,"140","0.246","0.339","0.338",17.7,15.7,19.5,"0.296","0.44","0.365",43.4
"Vest, Will",676684,"DET","FF","4-Seam Fastball",0.5,3,"596",52.4,"140","0.248","0.368","0.308",22.7,28.6,20.3,"0.256","0.395","0.322",55.8
"Gaddis, Hunter",683769,"CLE","SL","Slider",1.5,9,"563",53.7,"140","0.225","0.302","0.254",36,31.4,22.4,"0.231","0.355","0.29",38.6
"Uceta, Edwin",670955,"TB","CH","Changeup",1,5,"472",38.9,"140","0.216","0.344","0.281",36,31.4,26.2,"0.249","0.411","0.323",38.1
"Gallen, Zac",668678,"AZ","CH","Changeup",0.9,5,"501",16,"140","0.202","0.282","0.269",30.2,16.4,15.1,"0.219","0.333","0.286",30.4
"Blalock, Bradley",687134,"COL","FF","4-Seam Fastball",-4.2,-20,"480",46.5,"140","0.379","0.702","0.481",8.8,6.4,7.3,"0.361","0.721","0.478",52.6
"Brown, Hunter",686613,"HOU","CU","Curveball",1.7,9,"530",17.9,"140","0.15","0.218","0.188",39.2,42.1,28.8,"0.208","0.303","0.24",44
"Soto, Gregory",642397,"NYM","SI","Sinker",-0.4,-2,"541",52.5,"139","0.314","0.39","0.389",16.3,12.9,18.6,"0.285","0.417","0.36",41.6
"Henry, Cole",669371,"WSH","FF","4-Seam Fastball",1,5,"495",51.2,"139","0.189","0.324","0.313",29.1,25.9,22.2,"0.19","0.35","0.321",38.2
"Junk, Janson",676083,"MIA","SL","Slider",1,4,"447",27.6,"139","0.246","0.369","0.284",22.8,17.3,15.5,"0.308","0.506","0.363",39.8
"Springs, Jeffrey",605488,"ATH","SL","Slider",0.8,5,"589",20.7,"139","0.25","0.468","0.348",21.1,12.2,15.3,"0.295","0.5","0.372",45.4
"Sugano, Tomoyuki",608372,"BAL","ST","Sweeper",-0.4,-2,"509",19.8,"139","0.289","0.467","0.335",21.9,11.5,10.1,"0.27","0.428","0.305",36.7
"Walker, Taijuan",592836,"PHI","FC","Cutter",0.3,2,"620",30.1,"139","0.244","0.48","0.355",19.6,15.1,19.8,"0.217","0.423","0.316",35.9
"Bassitt, Chris",605135,"TOR","FC","Cutter",-0.3,-1,"478",16.9,"138","0.205","0.417","0.287",29.1,35.5,23.6,"0.212","0.418","0.3",31.6
"Williams, Gavin",668909,"CLE","ST","Sweeper",0.8,5,"579",19.8,"138","0.183","0.286","0.243",44,42.8,25.9,"0.189","0.339","0.263",39.1
"Clase, Emmanuel",661403,"CLE","FC","Cutter",1.1,6,"515",69,"138","0.266","0.347","0.3",30.1,21.7,22.7,"0.249","0.364","0.298",41.8
"King, John",667463,"STL","SI","Sinker",-0.1,0,"461",59,"138","0.318","0.419","0.365",15.7,9.4,14.1,"0.311","0.442","0.349",49.1
"Mattson, Isaac",676755,"PIT","FF","4-Seam Fastball",1.3,8,"610",78.5,"138","0.191","0.287","0.267",23.1,25.4,19.1,"0.214","0.354","0.297",40
"Kershaw, Clayton",477132,"LAD","FF","4-Seam Fastball",0,0,"612",34.6,"137","0.264","0.38","0.336",6.6,7.3,11.6,"0.284","0.385","0.335",41.1
"Muñoz, Andrés",662253,"SEA","SL","Slider",2.8,15,"522",50.4,"137","0.109","0.133","0.156",51,43.8,30.8,"0.155","0.218","0.193",25.7
"Glasnow, Tyler",607192,"LAD","FF","4-Seam Fastball",0.6,3,"524",35.4,"137","0.204","0.407","0.337",18.8,17.5,19.7,"0.214","0.359","0.324",38.2
"Vesia, Alex",681911,"LAD","FF","4-Seam Fastball",1.4,8,"588",57.5,"137","0.169","0.331","0.262",27.7,36.5,23.3,"0.177","0.357","0.275",38.9
"Scott, Tanner",656945,"LAD","FF","4-Seam Fastball",-0.8,-4,"480",52.7,"137","0.244","0.52","0.337",22.6,24.1,20.5,"0.265","0.496","0.344",46.9
"Peterson, David",656849,"NYM","FF","4-Seam Fastball",-1.1,-7,"611",22.6,"136","0.308","0.475","0.375",21.3,21.3,14.8,"0.334","0.545","0.408",47.3
"Kremer, Dean",665152,"BAL","SI","Sinker",0.6,3,"512",19,"136","0.293","0.415","0.358",9.7,16.2,17.1,"0.288","0.45","0.352",37.6
"Holmes, Grant",656550,"ATL","FF","4-Seam Fastball",-2.2,-14,"639",32.5,"136","0.33","0.651","0.466",16.9,16.9,15.5,"0.311","0.618","0.447",48.3
"Sheehan, Emmet",686218,"LAD","FF","4-Seam Fastball",-0.3,-2,"536",46.8,"135","0.214","0.436","0.332",26.5,23.7,23.4,"0.256","0.492","0.36",52.9
"Bergert, Ryan",686701,"KC","FF","4-Seam Fastball",0.6,4,"558",42.5,"135","0.196","0.321","0.303",16.8,20.7,17.6,"0.234","0.455","0.36",51.2
"Birdsong, Hayden",806185,"SF","FF","4-Seam Fastball",-0.1,0,"527",44.1,"135","0.204","0.466","0.362",21.1,17,16.4,"0.214","0.458","0.373",44.6
"Kikuchi, Yusei",579328,"LAA","CU","Curveball",0.5,2,"476",15.4,"135","0.23","0.357","0.292",24.2,20.7,19.9,"0.208","0.331","0.255",30
"Ashby, Aaron",676879,"MIL","SI","Sinker",1.5,8,"523",50.6,"135","0.246","0.331","0.308",16.1,15.6,22.8,"0.269","0.37","0.321",47
"Dreyer, Jack",676263,"LAD","FF","4-Seam Fastball",2.3,12,"517",45.1,"134","0.197","0.325","0.268",22.6,20.9,21.2,"0.218","0.383","0.299",40.9
"Sears, JP",676664,"SD","ST","Sweeper",0.7,5,"637",26.9,"134","0.218","0.427","0.306",26.1,24.6,19.1,"0.21","0.385","0.279",31.5
"Santana, Dennis",642701,"PIT","SL","Slider",1.4,7,"465",46.4,"134","0.159","0.286","0.223",35.7,32.8,23.2,"0.182","0.344","0.249",32.5
"De Los Santos, Enyel",660853,"HOU","FF","4-Seam Fastball",-0.2,-1,"540",48.9,"134","0.292","0.483","0.374",25.4,24.6,20.5,"0.293","0.501","0.372",50
"Kittredge, Andrew",552640,"CHC","SL","Slider",2.8,11,"406",52.9,"134","0.16","0.272","0.205",40.3,43.3,30.2,"0.162","0.268","0.207",42.9
"Uribe, Abner",682842,"MIL","SL","Slider",1.3,7,"536",46,"133","0.134","0.202","0.211",46.6,48.1,28.8,"0.127","0.171","0.189",18.2
"Montgomery, Mason",682254,"TB","FF","4-Seam Fastball",-1.3,-8,"569",66.2,"133","0.311","0.466","0.42",31.4,25.6,20.2,"0.272","0.423","0.383",46.5
"Montero, Rafael",606160,"DET","FS","Split-Finger",0.8,4,"510",46.9,"133","0.168","0.292","0.274",36.1,26.3,18.9,"0.176","0.266","0.267",28.2
"Littell, Zack",641793,"CIN","SI","Sinker",0.4,2,"445",16,"132","0.261","0.471","0.358",12.4,9.1,12.1,"0.285","0.464","0.357",38.3
"Bazardo, Eduard",660825,"SEA","SI","Sinker",2.4,12,"498",40.7,"132","0.158","0.233","0.231",17.9,32.6,28.9,"0.185","0.318","0.258",40.3
"Kolek, Stephen",663568,"KC","SI","Sinker",0.8,3,"407",24.1,"132","0.267","0.31","0.328",13.1,9.8,15.3,"0.275","0.365","0.328",51.5
"Martinez, Nick",607259,"CIN","CH","Changeup",-0.3,-2,"510",19.8,"132","0.192","0.384","0.263",29.6,23.5,15.7,"0.196","0.332","0.247",24.2
"Bradley, Taj",671737,"MIN","FC","Cutter",0.6,3,"518",22.8,"132","0.231","0.355","0.285",31.7,18.9,21,"0.254","0.449","0.326",37.1
"Bibee, Tanner",676440,"CLE","CH","Changeup",-0.8,-4,"450",15.2,"132","0.22","0.415","0.301",38.7,35.6,22.3,"0.182","0.335","0.257",23
"Misiorowski, Jacob",694819,"MIL","FF","4-Seam Fastball",0.5,3,"642",55.2,"131","0.193","0.312","0.298",32.5,34.4,23,"0.186","0.328","0.299",40.6
"Eisert, Brandon",685126,"CWS","SL","Slider",-1.4,-6,"436",35.9,"131","0.298","0.512","0.37",28.9,22.1,21.2,"0.259","0.468","0.334",38.3
"Fluharty, Mason",689254,"TOR","FC","Cutter",1,5,"500",58.2,"131","0.182","0.282","0.285",27.9,26,22.2,"0.221","0.347","0.31",37.2
"Rodríguez, Yariel",684320,"TOR","SL","Slider",2.3,11,"478",41.3,"131","0.134","0.252","0.211",37.2,34.4,26.2,"0.177","0.306","0.247",27.6
"Woods Richardson, Simeon",680573,"MIN","SL","Slider",0.2,1,"510",27.2,"130","0.21","0.378","0.283",27.4,26.2,17.6,"0.2","0.369","0.273",36
"Suter, Brent",608718,"CIN","FF","4-Seam Fastball",0.4,2,"471",42.2,"130","0.271","0.466","0.369",18.3,17.7,15.1,"0.263","0.472","0.345",38.5
"Patrick, Chad",694477,"MIL","SI","Sinker",0.9,4,"475",23.6,"130","0.226","0.348","0.307",11.7,16.9,17.6,"0.253","0.397","0.326",50.5
"Walker, Taijuan",592836,"PHI","FS","Split-Finger",-1.8,-8,"463",22.5,"130","0.283","0.475","0.355",20.4,13.1,10.9,"0.305","0.46","0.352",45.2
"Vodnik, Victor",680767,"COL","FF","4-Seam Fastball",-0.3,-2,"515",56,"129","0.283","0.442","0.377",17.1,15.5,14.9,"0.279","0.493","0.374",54.8
"Bibee, Tanner",676440,"CLE","FC","Cutter",0.7,4,"620",20.9,"129","0.22","0.424","0.323",29.9,16.3,17.2,"0.219","0.388","0.295",37.1
"Abreu, Bryan",650556,"HOU","FF","4-Seam Fastball",0.8,5,"594",50,"129","0.196","0.259","0.265",36.4,33.3,26.7,"0.223","0.361","0.309",49.3
"Warren, Will",701542,"NYY","ST","Sweeper",-1.7,-10,"578",20.6,"129","0.336","0.569","0.421",33,24,19.3,"0.3","0.489","0.368",41.4
"Fairbanks, Pete",664126,"TB","FF","4-Seam Fastball",0.7,4,"504",51.1,"129","0.221","0.319","0.326",21.9,17.8,15.9,"0.251","0.354","0.313",48.4
"Romano, Jordan",605447,"PHI","SL","Slider",-0.2,-1,"443",63.2,"128","0.263","0.483","0.336",29.5,25.8,23.7,"0.207","0.386","0.28",37.9
"Finnegan, Kyle",640448,"DET","FF","4-Seam Fastball",1.1,5,"493",58.3,"128","0.232","0.384","0.318",15.8,18,17.6,"0.255","0.411","0.331",46.7
"Uceta, Edwin",670955,"TB","FF","4-Seam Fastball",0.6,3,"493",40.6,"128","0.155","0.355","0.277",38.7,41.4,30.8,"0.155","0.348","0.276",36.2
"Kerkering, Orion",689147,"PHI","ST","Sweeper",-0.4,-2,"515",48,"128","0.235","0.387","0.305",23.6,21.9,18.3,"0.238","0.397","0.293",26.9
"Martinez, Nick",607259,"CIN","SI","Sinker",0.5,2,"440",17.1,"128","0.248","0.425","0.331",13,14.8,18.1,"0.249","0.348","0.294",29.6
"Gil, Luis",661563,"NYY","FF","4-Seam Fastball",0.3,2,"491",50.6,"128","0.25","0.393","0.331",18.8,14.1,15.5,"0.287","0.468","0.364",49.5
"Castillo, Luis",622491,"SEA","SL","Slider",0.1,1,"609",20.4,"128","0.23","0.336","0.268",36.5,34.4,20.1,"0.239","0.368","0.28",41.8
"López, Pablo",641154,"MIN","FF","4-Seam Fastball",1.5,8,"518",41.2,"128","0.274","0.35","0.317",22.3,18.8,17.6,"0.31","0.455","0.36",44.1
"Cruz, Fernando",518585,"NYY","FS","Split-Finger",1.3,6,"479",60.5,"128","0.178","0.28","0.243",56.6,49.2,35.2,"0.157","0.264","0.22",38.2
"Beeks, Jalen",656222,"AZ","FF","4-Seam Fastball",0.2,1,"480",52.4,"128","0.272","0.465","0.364",21.3,16.4,18.6,"0.29","0.504","0.377",49.5
"Baker, Bryan",641329,"TB","FF","4-Seam Fastball",0.2,1,"520",47.2,"127","0.272","0.482","0.364",27.8,30.7,24.5,"0.264","0.523","0.366",61.8
"Bibee, Tanner",676440,"CLE","ST","Sweeper",1,5,"470",15.8,"127","0.168","0.292","0.264",30.8,26.8,17.2,"0.2","0.361","0.285",30
"Cantillo, Joey",676282,"CLE","CH","Changeup",0.8,4,"500",30.5,"127","0.165","0.27","0.243",49.4,36.2,28.4,"0.175","0.232","0.22",21.4
"Kirby, George",669923,"SEA","SL","Slider",1,6,"571",27.4,"127","0.258","0.35","0.263",31.2,26,18.2,"0.243","0.382","0.278",43.5
"Nola, Aaron",605400,"PHI","CU","Curveball",-0.6,-3,"457",29.1,"126","0.274","0.462","0.349",39.1,34.1,25.4,"0.247","0.379","0.299",36.5
"Little, Brendon",663893,"TOR","SI","Sinker",-0.2,-1,"565",45.6,"126","0.248","0.366","0.397",31.6,9.5,20.3,"0.279","0.399","0.373",49.4
"Yamamoto, Yoshinobu",808967,"LAD","CU","Curveball",1,5,"491",17.6,"126","0.195","0.257","0.256",36.7,28.6,25.2,"0.224","0.321","0.282",31.2
"Quantrill, Cal",615698,"ATL","FC","Cutter",0.5,2,"435",21.7,"126","0.284","0.56","0.386",21.5,19.8,23.8,"0.311","0.617","0.416",51.6
"Vásquez, Randy",681190,"SD","SI","Sinker",2.8,11,"412",19.2,"126","0.217","0.27","0.257",7.5,8.7,14.1,"0.302","0.506","0.375",49
"Bivens, Spencer",702352,"SF","SI","Sinker",0.3,1,"489",37.8,"126","0.283","0.389","0.345",7.4,16.7,20,"0.258","0.408","0.328",39.1
"Cabrera, Edward",665795,"MIA","SI","Sinker",-1.2,-6,"465",20.6,"125","0.373","0.609","0.45",9.6,3.2,7,"0.376","0.639","0.464",48.1
"Bellozo, Valente",678368,"MIA","FC","Cutter",-0.2,-1,"463",35,"125","0.324","0.505","0.402",17.8,11.2,16.7,"0.299","0.537","0.384",46.5
"Soroka, Michael",647336,"CHC","SV","Slurve",1.3,7,"531",34.8,"125","0.118","0.245","0.212",38.3,44,28.5,"0.136","0.22","0.214",28.6
"Peralta, Freddy",642547,"MIL","CU","Curveball",1,5,"489",15.8,"125","0.183","0.283","0.228",34.5,41.6,22.1,"0.164","0.216","0.186",19.1
"Megill, Tylor",656731,"NYM","FF","4-Seam Fastball",0.8,4,"521",42.2,"125","0.226","0.377","0.32",29.6,35.2,27.3,"0.229","0.389","0.338",50.8
"Miller, Mason",695243,"SD","FF","4-Seam Fastball",0.2,1,"507",52.2,"125","0.163","0.388","0.331",37.5,38.4,27.7,"0.18","0.389","0.337",49.1
"Lugo, Seth",607625,"KC","CU","Curveball",0.4,2,"548",23,"124","0.214","0.325","0.259",25.8,29,19.6,"0.246","0.373","0.289",44.4
"Crochet, Garrett",676979,"BOS","SI","Sinker",3,15,"498",15.8,"124","0.226","0.287","0.267",19.8,15.3,25.7,"0.275","0.392","0.317",34.4
"Valdez, Framber",664285,"HOU","CH","Changeup",-0.6,-3,"527",18.2,"124","0.22","0.407","0.306",29.5,23.4,21.3,"0.211","0.364","0.272",44.9
"Zerpa, Angel",672582,"KC","SI","Sinker",0.6,3,"490",44.6,"124","0.305","0.419","0.369",8.9,16.9,14.8,"0.252","0.355","0.321",43
"Canning, Griffin",656288,"NYM","SL","Slider",-0.3,-1,"423",31.5,"123","0.277","0.42","0.346",33.5,22,18.4,"0.274","0.465","0.349",44.7
"Detmers, Reid",672282,"LAA","FF","4-Seam Fastball",1.5,7,"478",44.1,"123","0.231","0.324","0.292",31.2,34.1,26.3,"0.222","0.349","0.304",41.8
"Bido, Osvaldo",674370,"ATH","FF","4-Seam Fastball",-1.8,-9,"515",37.4,"123","0.303","0.545","0.409",22.2,15.4,11.9,"0.299","0.602","0.435",51.8
"Mears, Nick",683232,"MIL","FF","4-Seam Fastball",-0.1,0,"452",53.5,"123","0.269","0.417","0.323",14.6,13.8,11.6,"0.329","0.555","0.388",49.5
"Svanson, Matt",694335,"STL","SI","Sinker",2.4,11,"457",47.4,"123","0.157","0.25","0.237",19.2,26,21.5,"0.227","0.374","0.301",33.3
"Lugo, Seth",607625,"KC","FF","4-Seam Fastball",-0.4,-2,"504",21.2,"123","0.234","0.486","0.359",14.8,14.6,13.6,"0.267","0.55","0.386",47.8
"Alexander, Jason",669920,"HOU","CH","Changeup",-0.9,-4,"410",32.7,"123","0.193","0.456","0.302",41.7,36.6,24.7,"0.183","0.352","0.257",35.7
"Walker, Taijuan",592836,"PHI","SI","Sinker",0.5,2,"417",20.2,"122","0.231","0.343","0.307",10.9,18,18.8,"0.251","0.38","0.319",38.4
"Cabrera, Edward",665795,"MIA","CU","Curveball",1.3,7,"531",23.6,"122","0.142","0.245","0.23",45.2,44.3,26.6,"0.135","0.206","0.213",40.7
"Bednar, David",670280,"NYY","FF","4-Seam Fastball",0.4,2,"452",44.1,"122","0.229","0.413","0.307",22.2,26.2,20.6,"0.261","0.515","0.361",51.3
"Kelly, Merrill",518876,"TEX","FC","Cutter",1.7,10,"582",20.5,"122","0.181","0.371","0.262",16.8,23,26.9,"0.254","0.511","0.339",45.5
"Helsley, Ryan",664854,"NYM","FF","4-Seam Fastball",-3.4,-15,"445",45.5,"121","0.422","0.667","0.506",17.8,14.9,15.5,"0.322","0.538","0.415",52.9
"Casparius, Ben",676508,"LAD","ST","Sweeper",0.1,1,"406",32.2,"121","0.248","0.376","0.287",25.9,26.4,18.2,"0.231","0.358","0.263",29.1
"Duran, Jhoan",661395,"PHI","FS","Split-Finger",2.9,13,"428",39.9,"121","0.237","0.298","0.256",23.2,12.4,19.5,"0.242","0.348","0.274",43
"Burnes, Corbin",669203,"AZ","FC","Cutter",0.4,2,"554",54.9,"121","0.257","0.446","0.367",21.7,14,14.9,"0.265","0.414","0.354",43.5
"Lorenzen, Michael",547179,"KC","FF","4-Seam Fastball",-1,-5,"504",21.7,"120","0.273","0.509","0.356",16.6,22.5,18.1,"0.275","0.568","0.383",52.4
"Rogers, Trevor",669432,"BAL","CH","Changeup",1.7,7,"406",25,"120","0.202","0.272","0.235",26.9,16.7,14.8,"0.268","0.401","0.304",50.5
"Holmes, Clay",605280,"NYM","ST","Sweeper",-0.7,-4,"527",19.1,"120","0.216","0.324","0.298",25.4,25.8,18.5,"0.215","0.328","0.267",30
"Bazardo, Eduard",660825,"SEA","SL","Slider",1.6,8,"524",42.8,"120","0.177","0.292","0.218",21.4,18.3,13.5,"0.232","0.384","0.293",29
"Ashcraft, Graham",668933,"CIN","SL","Slider",1.5,7,"477",45.9,"120","0.197","0.274","0.228",41.8,39.2,26.6,"0.17","0.219","0.177",28.2
"Montero, Keider",672456,"DET","FF","4-Seam Fastball",-0.3,-2,"453",30.8,"120","0.295","0.41","0.356",14.2,17.5,16.8,"0.299","0.501","0.385",38.1
"Megill, Trevor",656730,"MIL","FF","4-Seam Fastball",0.3,1,"456",60.6,"120","0.264","0.406","0.332",20.6,25.8,21.4,"0.264","0.458","0.345",42.9
"Keller, Mitch",656605,"PIT","SI","Sinker",0.9,4,"447",15.6,"120","0.248","0.385","0.316",12.3,14.2,18.1,"0.254","0.378","0.305",51.6
"Whitlock, Garrett",676477,"BOS","SI","Sinker",1.7,10,"556",47.1,"120","0.212","0.279","0.28",31.1,29.2,21.1,"0.214","0.364","0.3",42.9
"Priester, Quinn",682990,"MIL","FC","Cutter",-0.3,-2,"504",20.4,"120","0.28","0.43","0.348",22.2,24.2,18.5,"0.25","0.391","0.321",39.7
"Jax, Griffin",643377,"TB","ST","Sweeper",0.9,5,"478",43.7,"120","0.223","0.295","0.273",46.5,49.2,32.4,"0.196","0.298","0.245",39.6
"Fried, Max",608331,"NYY","CU","Curveball",0.5,3,"537",17.3,"120","0.19","0.293","0.234",42,40.8,24.7,"0.205","0.331","0.239",35.3
"Ober, Bailey",641927,"MIN","SL","Slider",-1.9,-8,"415",17.6,"119","0.321","0.606","0.431",21.3,12.6,14.3,"0.29","0.531","0.374",43.2
"Akin, Keegan",669211,"BAL","FF","4-Seam Fastball",-0.9,-5,"543",51.3,"119","0.323","0.566","0.433",25.2,19.3,13.6,"0.309","0.565","0.425",53.9
"Legumina, Casey",668984,"SEA","FF","4-Seam Fastball",0.5,2,"485",56.3,"119","0.21","0.33","0.297",28.1,29.4,20.6,"0.215","0.373","0.314",43.3
"Varland, Louis",686973,"TOR","FF","4-Seam Fastball",0.5,2,"473",44.4,"119","0.263","0.364","0.335",17.9,21.8,22.6,"0.294","0.456","0.373",51.3
"Ragans, Cole",666142,"KC","FF","4-Seam Fastball",0.2,1,"534",49.5,"118","0.225","0.422","0.317",28.6,33.9,23.1,"0.196","0.4","0.297",41.5
"Bachar, Lake",669199,"MIA","FF","4-Seam Fastball",0.2,1,"425",37.2,"118","0.227","0.515","0.37",25.2,23.7,27.7,"0.249","0.573","0.4",53.5
"Bello, Brayan",678394,"BOS","ST","Sweeper",-0.3,-2,"513",19,"117","0.202","0.356","0.283",26.6,29.1,17.4,"0.262","0.512","0.348",37.8
"Wentz, Joey",666214,"ATL","SL","Slider",-0.5,-2,"480",26.4,"117","0.283","0.443","0.337",29.4,23.9,17.4,"0.256","0.447","0.325",45
"Sugano, Tomoyuki",608372,"BAL","FF","4-Seam Fastball",-0.9,-4,"489",19.1,"117","0.276","0.571","0.399",14.5,20.5,16.3,"0.314","0.663","0.44",49.4
"Williams, Devin",642207,"NYY","FF","4-Seam Fastball",0.5,2,"528",47.4,"116","0.204","0.296","0.291",37.7,38.8,28,"0.175","0.273","0.27",45.3
"Quintana, Jose",500779,"MIL","CH","Changeup",-0.4,-2,"480",22.1,"116","0.274","0.354","0.287",20.3,11.2,10.2,"0.289","0.439","0.322",34
"Lorenzen, Michael",547179,"KC","SI","Sinker",-0.4,-2,"426",18.4,"116","0.271","0.514","0.364",10.8,19.8,20.9,"0.284","0.48","0.354",44
"Matthews, Zebby",805673,"MIN","FF","4-Seam Fastball",-0.6,-3,"532",39.3,"116","0.34","0.547","0.398",22.2,24.1,18.8,"0.307","0.541","0.384",48.1
"Banda, Anthony",607455,"LAD","SL","Slider",0.9,5,"524",49.2,"116","0.144","0.269","0.225",37.9,31.9,21.1,"0.173","0.327","0.256",35.3
"Speier, Gabe",642100,"SEA","FF","4-Seam Fastball",2.1,9,"412",44.7,"115","0.164","0.309","0.216",33.3,43.5,28.4,"0.186","0.357","0.247",52.5
"Cameron, Noah",702070,"KC","CU","Curveball",2.2,9,"418",19.3,"115","0.153","0.189","0.177",30.4,37.4,24.6,"0.181","0.246","0.202",33.8
"Rogers, Taylor",573124,"CHC","SI","Sinker",-2.4,-10,"438",49,"115","0.326","0.537","0.426",10.2,14.8,12.1,"0.336","0.61","0.437",53.7
"Sugano, Tomoyuki",608372,"BAL","SI","Sinker",0.1,0,"408",15.9,"115","0.313","0.495","0.387",9.1,9.6,11.5,"0.312","0.593","0.419",47.3
